wheel,timestamp,error
left,1588319928.77,-0.351918345269
right,1588319928.77,-0.357337608247
left,1588319928.78,-0.345463411374
right,1588319928.78,-0.350511273349
left,1588319928.79,-0.339137749815
right,1588319928.79,-0.343816393612
left,1588319928.8,-0.33293898206
right,1588319928.8,-0.337250961532
left,1588319928.81,-0.326864767684
right,1588319928.81,-0.330813012123
left,1588319928.82,-0.320912784449
right,1588319928.82,-0.324500560394
left,1588319928.83,-0.315080755729
right,1588319928.83,-0.318311658997
left,1588319928.84,-0.309366456657
right,1588319928.84,-0.312244415052
left,1588319928.85,-0.303767698832
right,1588319928.85,-0.306296963192
left,1588319928.86,-0.298282313744
right,1588319928.86,-0.300467420621
left,1588319928.87,-0.292908168829
right,1588319928.87,-0.294753918437
left,1588319928.88,-0.28764316383
right,1588319928.88,-0.289154609503
right,1588319928.89,-0.283667669746
left,1588319928.89,-0.282485236188
left,1588319928.9,-0.277432372706
right,1588319928.9,-0.278291331558
left,1588319928.91,-0.272482593153
right,1588319928.91,-0.273023853014
left,1588319928.92,-0.267633941247
right,1588319928.92,-0.267863490819
right,1588319928.93,-0.262808498067
left,1588319928.93,-0.262884484282
right,1588319928.94,-0.257857172041
left,1588319928.94,-0.258232332921
right,1588319928.95,-0.253007819742
left,1588319928.95,-0.253675621721
right,1588319928.96,-0.248258763117
left,1588319928.96,-0.249212517122
left,1588319928.97,-0.244841232252
right,1588319928.97,-0.243608392863
right,1588319928.98,-0.239055051533
left,1588319928.98,-0.240559979337
