wheel,timestamp,state
left,1588322446.45,0.633449789242
right,1588322446.46,0.639294978282
left,1588322446.46,0.637157576965
right,1588322446.47,0.642904787307
 left,1588322446.47,0.640773389949
left,1588322446.48,0.644300281982
 right,1588322446.48,0.646424061592
left,1588322446.49,0.647743762737
 right,1588322446.49,0.649856770189
left,1588322446.5,0.651110538203
right,1588322446.5,0.653209492036
left,1588322446.51,0.654401744784
right,1588322446.51,0.656483349427
left,1588322446.52,0.657621325629
 right,1588322446.52,0.65968135394
left,1588322446.53,0.660773316312
right,1588322446.53,0.662806314013
left,1588322446.54,0.663861920484
right,1588322446.55,0.665861003715
left,1588322446.55,0.666891655061
right,1588322446.55,0.668848257758
left,1588322446.56,0.669842798136
 right,1588322446.56,0.671759236699
left,1588322446.57,0.67265483437
 right,1588322446.57,0.674568838625
left,1588322446.58,0.675350707303
right,1588322446.58,0.677291800205
right,1588322446.59,0.679939639289
 left,1588322446.59,0.677952784957
right,1588322446.6,0.682520550269
left,1588322446.6,0.680476489499
left,1588322446.61,0.68293215864
right,1588322446.61,0.685040276843
left,1588322446.62,0.685326776739
right,1588322446.62,0.687502916856
right,1588322446.63,0.689911491647
left,1588322446.63,0.687665183354
right,1588322446.64,0.692268309373
left,1588322446.64,0.689950855013
right,1588322446.65,0.694575220239
left,1588322446.65,0.692186367383
right,1588322446.66,0.696833767626
left,1588322446.66,0.694373724914
right,1588322446.67,0.699045289041
left,1588322446.67,0.696514559956
right,1588322446.68,0.701210980904
left,1588322446.68,0.698610257643
right,1588322446.69,0.703331940485
left,1588322446.69,0.700662033915
right,1588322446.7,0.705409189188
left,1588322446.71,0.702670997421
left,1588322446.72,0.704638171501
right,1588322446.72,0.707443695317
right,1588322446.72,0.709436387435
left,1588322446.72,0.706564510086
right,1588322446.73,0.711388161304
left,1588322446.73,0.708450922789
left,1588322446.74,0.710298284652
right,1588322446.74,0.713299885429
left,1588322446.75,0.712107441901
 right,1588322446.76,0.715172405439
left,1588322446.76,0.713879226546
right,1588322446.76,0.717006540609
left,1588322446.77,0.715614438013
right,1588322446.77,0.718803089009
right,1588322446.79,0.720562831743
left,1588322446.79,0.717313847118
right,1588322446.79,0.722286533118
left,1588322446.8,0.718978208084
right,1588322446.81,0.723974941359
left,1588322446.81,0.72060825923
left,1588322446.82,0.722204724647
right,1588322446.82,0.725628789845
left,1588322446.83,0.723768322218
right,1588322446.83,0.72724878938
left,1588322446.84,0.725299735603
right,1588322446.84,0.728835636676
left,1588322446.85,0.726799630342
right,1588322446.85,0.730390015318
left,1588322446.86,0.728268665914
 right,1588322446.86,0.731912596464
left,1588322446.87,0.729707488037
right,1588322446.87,0.733404038364
left,1588322446.88,0.731116737881
right,1588322446.88,0.734864981023
right,1588322446.89,0.736296050101
left,1588322446.89,0.732497034094
right,1588322446.9,0.737697859441
left,1588322446.9,0.733848974295
right,1588322446.91,0.739071010987
left,1588322446.91,0.735173145745
right,1588322446.92,0.740416095847
left,1588322446.92,0.736470124919
right,1588322446.93,0.741733688761
 left,1588322446.93,0.737740485138
left,1588322446.94,0.738984781892
 right,1588322446.94,0.743024352351
left,1588322446.95,0.740203550215
right,1588322446.95,0.744288638291
right,1588322446.96,0.745527087912
left,1588322446.96,0.741397316277
left,1588322446.97,0.742566595667
right,1588322446.97,0.746740231951
left,1588322446.98,0.743711900528
right,1588322446.98,0.747928586586
right,1588322446.99,0.749092658951
 left,1588322446.99,0.744833729214
left,1588322447.0,0.745932563113
right,1588322447.0,0.750232946253
left,1588322447.01,0.74700887543
